vertices,percentage,edges,tarjan,nuutila,pearce,components,correct
200,0.427136,13934,5.08965,4.942102,4.882146,1,1
200,0.429648,13994,4.992508,4.955116,4.85328,1,1
200,0.432161,14055,5.084408,4.870151,4.982448,1,1
200,0.434673,14117,5.034305,4.963246,4.94372,1,1
200,0.437186,14184,5.041393,5.008553,4.987699,1,1
200,0.439698,14253,5.178888,5.02999,5.034129,1,1
200,0.442211,14318,5.258414,4.959208,4.994738,1,1
200,0.444724,14379,5.143618,5.093948,5.064906,1,1
200,0.447236,14442,5.141665,5.07636,5.066042,1,1
200,0.449749,14509,5.227438,5.242186,5.127782,1,1
200,0.452261,14559,5.172148,5.155829,5.127874,1,1
200,0.454774,14623,5.313866,5.122649,5.125172,1,1
200,0.457286,14683,5.310589,5.195299,5.165604,1,1
200,0.459799,14748,5.295481,5.217922,5.214738,1,1
200,0.462312,14811,5.407846,5.165657,5.121574,1,1
200,0.464824,14872,5.324915,5.280806,5.229586,1,1
200,0.467337,14942,5.306944,5.28303,5.123778,1,1
200,0.469849,15004,5.316732,5.334716,5.275984,1,1
200,0.472362,15071,5.371649,5.324669,5.409587,1,1
200,0.474874,15133,5.413739,5.229079,5.389901,1,1
200,0.477387,15191,5.495412,5.366635,5.331733,1,1
200,0.479899,15237,5.471059,5.485518,5.365556,1,1
200,0.482412,15300,5.440155,5.334853,5.361909,1,1
200,0.484925,15365,5.490439,5.325321,5.413215,1,1
200,0.487437,15424,5.573582,5.542565,5.41676,1,1
200,0.48995,15490,5.467169,5.36801,5.480505,1,1
200,0.492462,15554,5.534091,5.461326,5.494551,1,1
200,0.494975,15613,5.587393,5.502709,5.506135,1,1
200,0.497487,15666,5.496061,5.495819,5.37616,1,1
200,0.5,15727,5.753029,5.694291,5.609513,1,1
200,0.502513,15779,5.636701,5.489062,5.585827,1,1
200,0.505025,15834,5.580493,5.536798,5.576735,1,1
200,0.507538,15898,5.72862,5.474666,5.63378,1,1
200,0.51005,15954,5.646355,5.524532,5.57844,1,1
200,0.512563,16011,5.732809,5.695724,5.819924,1,1
200,0.515075,16070,5.835324,5.787842,5.719633,1,1
200,0.517588,16134,5.838781,5.694505,5.680324,1,1
200,0.520101,16200,5.805868,5.888709,5.765262,1,1
200,0.522613,16263,5.84697,5.776224,5.833827,1,1
200,0.525126,16316,5.899417,5.77782,5.864699,1,1
200,0.527638,16377,5.898459,5.773167,5.767421,1,1
200,0.530151,16437,5.951016,5.82327,5.823229,1,1
200,0.532663,16493,5.924069,5.812308,5.850278,1,1
200,0.535176,16560,5.93492,5.846082,5.826552,1,1
200,0.537688,16620,5.915117,5.869518,5.863165,1,1
200,0.540201,16684,6.032863,5.991535,5.938752,1,1
200,0.542714,16746,6.078936,5.89477,5.912505,1,1
200,0.545226,16811,6.013677,5.908561,6.033972,1,1
200,0.547739,16864,5.985534,5.907385,5.929499,1,1
200,0.550251,16930,6.062873,6.021785,5.960525,1,1
200,0.552764,16991,6.036775,6.070612,6.022704,1,1
200,0.555276,17058,6.1691,6.073075,6.112842,1,1
200,0.557789,17113,6.096896,5.953744,6.026612,1,1
200,0.560302,17166,6.129638,6.049313,6.077861,1,1
200,0.562814,17226,6.158957,6.093974,6.052966,1,1
200,0.565327,17277,6.101889,6.017717,6.009444,1,1
200,0.567839,17337,6.221788,6.170109,6.148238,1,1
200,0.570352,17394,6.192742,6.049038,5.986594,1,1
200,0.572864,17454,6.04119,6.096938,6.008382,1,1
200,0.575377,17508,6.010198,5.930936,6.012771,1,1
200,0.577889,17563,6.166204,6.065411,6.120865,1,1
200,0.580402,17622,6.126049,6.02005,6.003505,1,1
200,0.582915,17684,6.067768,5.980868,6.040489,1,1
200,0.585427,17746,6.183562,6.014463,6.080873,1,1
200,0.58794,17800,6.237804,6.103983,6.149996,1,1
200,0.590452,17853,6.196358,6.032511,6.020639,1,1
200,0.592965,17907,6.211201,6.119001,6.078217,1,1
200,0.595477,17962,6.22919,6.087425,6.073464,1,1
200,0.59799,18012,6.289062,6.27985,6.27124,1,1
200,0.600503,18073,6.401404,6.392396,6.330407,1,1
200,0.603015,18126,6.422457,6.342208,6.200074,1,1
200,0.605528,18181,6.402349,6.321769,6.331681,1,1
200,0.60804,18239,6.390402,6.303616,6.301718,1,1
200,0.610553,18295,6.42712,6.284775,6.39365,1,1
200,0.613065,18346,6.475432,6.459835,6.388731,1,1
200,0.615578,18394,6.487644,6.407023,6.335271,1,1
200,0.61809,18447,6.475932,6.382664,6.391688,1,1
200,0.620603,18495,6.427219,6.42187,6.400861,1,1
200,0.623116,18543,6.505802,6.391683,6.501802,1,1
200,0.625628,18599,6.464443,6.423537,6.408429,1,1
200,0.628141,18656,6.54547,6.487247,6.464937,1,1
200,0.630653,18704,6.594284,6.411942,6.497183,1,1
200,0.633166,18755,6.598115,6.395203,6.4204,1,1
200,0.635678,18807,6.506691,6.362765,6.412469,1,1
200,0.638191,18854,6.455745,6.354878,6.433788,1,1
200,0.640704,18906,6.586708,6.553527,6.40369,1,1
